Altium Designer Pick and Place Locations
\\192.168.1.124\home\1.client\Shinshu University\SSST\SSST_blood_sugar_git\Hardware\Altium\Project Outputs\Assembly\Pick and Place\Pick Place for 4Layer_Imposition.csv

========================================================================================================================
File Design Information:

Date:       06/04/22
Time:       18:33
Revision:   eb204bdf0c7c0e3d0a31be1b51934c6902f15cc7
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"FD4","FIDUCIAL CIRCLE","TopLayer","Fiducial_circle","5.0000","165.0000","0","認識マーク丸"
"FD3","FIDUCIAL CIRCLE","TopLayer","Fiducial_circle","115.0000","5.0000","0","認識マーク丸"
"FD2","FIDUCIAL SQUARE","TopLayer","Fiducial_square","115.0000","166.0000","0","認識マーク四角"
"FD1","FIDUCIAL SQUARE","TopLayer","Fiducial_square","5.0000","5.0000","0","認識マーク四角"
"USB1","DX07W024JA1R1000","BottomLayer","DX07W024JA1R1000","11.5750","25.0040","90","USB3.1 Type-C"
"JP5","SMD_JAMPER","TopLayer","SMD_JAMPER","31.5000","33.8000","0",""
"D5","CDBW0520L-G","BottomLayer","SOD-123","34.1000","35.0000","180","Schottky Rectifier"
"C18","GRM1885C1H101JA01D","BottomLayer","C1608","46.6000","18.6000","270","セラコン1608サイズ"
"+5V","TP1mm","TopLayer","TP1mm","16.0000","17.3000","90","Test-Point 1mm"
"+3.3V","TP1mm","TopLayer","TP1mm","12.5000","17.3000","0","Test-Point 1mm"
"TP8","TP1mm","TopLayer","TP1mm","16.6000","34.1000","0","Test-Point 1mm"
"GND","TP1mm","TopLayer","TP1mm","45.0000","13.0000","0","Test-Point 1mm"
"TP2","TP1mm","TopLayer","TP1mm","26.2000","19.4000","0","Test-Point 1mm"
"TP1","TP1mm","TopLayer","TP1mm","20.0000","19.0000","0","Test-Point 1mm"
"C1","GRM155F11H103Z","BottomLayer","C1005","47.2000","35.7000","270","セラコン1005サイズ"
"P1","FTSH-110-01-F-DV-K-P-TR","TopLayer","Headerpin_2x10","37.0350","15.8350","90","Header, 2 x 10 -Pin 1.27mm"
"U2","LTC1682IS8-3.3#PBF","TopLayer","SOIC8_3.9mm","23.3000","36.0000","180","IC REG CHARGE PUMP 3.3V 8SOIC"
"C9","GRM155B11H472K","BottomLayer","C1005","20.6000","36.6350","180","セラコン1005サイズ"
"C8","GRM155F11H103Z","BottomLayer","C1005","20.6000","35.3650","180","セラコン1005サイズ"
"C7","GRM155F11H103Z","BottomLayer","C1005","20.6000","37.9050","180","セラコン1005サイズ"
"C6","GRM1552C1H102J","BottomLayer","C1005","26.0000","36.6350","0","セラコン1005サイズ"
"C5","GRM1552C1H221J","TopLayer","C1005","17.1000","36.6350","270","セラコン1005サイズ"
"C4","GRM155B11H472K","BottomLayer","C1005","26.0000","34.0950","180","セラコン1005サイズ"
"C3","GRM155B11H472K","BottomLayer","C1005","20.6000","34.0950","180","セラコン1005サイズ"
"U6","OPA2330AIDR","TopLayer","SOIC8_3.9mm","23.3000","29.0000","180","CMOS ゼロドリフトアンプ 2回路 レールツーレール 8SOIC"
"U5","AD7680BRJZ","TopLayer","SOT-23-6","37.0000","29.6350","270","16bit ADC 2.5V～5.5V SOT23"
"U4","NINA-B302","BottomLayer","NINA_LGA67R_1500X1000X338_PIFA","53.0000","29.0000","90","u-blox NINA-B302 Bluetooth 5 LE, 802.15.4 module"
"U3","LTC1682IS8-5#PBF","TopLayer","SOIC8_3.9mm","23.3000","14.0000","180","IC REG CHARGE PUMP 5V MSOP8"
"U1","CLB2032BUPB","BottomLayer","CLB2032BUPB","35.5000","23.8000","180","CLB電池ユニット　ピンタイプ"
"SW2","PTS645SK13SMTR92LFS","TopLayer","PTS645SK13SMTR92LFS","50.4500","16.2000","90","Tactile Switch 6 x 6mm"
"SW1","PTS645SK13SMTR92LFS","TopLayer","PTS645SK13SMTR92LFS","50.4500","28.1000","270","Tactile Switch 6 x 6mm"
"R24","RG1608P-114-B-T5","TopLayer","R1608","38.2000","24.0000","270","薄膜チップ抵抗1608サイズ"
"R23","RG1608P-303-B-T5","TopLayer","R1608","39.6000","24.0000","270","薄膜チップ抵抗1608サイズ"
"R21","RG1608P-114-B-T5","BottomLayer","R1608","20.6000","29.6350","180","薄膜チップ抵抗1608サイズ"
"R20","RG1608P-303-B-T5","BottomLayer","R1608","20.6000","30.9050","180","薄膜チップ抵抗1608サイズ"
"R18","RG1608P-204-B-T5","TopLayer","R1608","30.5000","29.6350","180","薄膜チップ抵抗1608サイズ"
"R17","RT0603DRD071ML","BottomLayer","R1608","23.3000","17.7000","0","薄膜チップ抵抗1608サイズ"
"R14","RG1608P-102-B-T5","TopLayer","R1608","23.3000","17.7000","0","薄膜チップ抵抗1608サイズ"
"R12","SM-3TW502","TopLayer","SM-3TW","33.5000","24.0000","270","CERMET TRIMMER 11 turns Top adjustmet"
"R11","RG1005P-103-B-T5","BottomLayer","R1005","52.2000","13.0000","0","薄膜チップ抵抗1005サイズ"
"R10","RG1608P-103-B-T5","BottomLayer","R1608","52.0000","14.2000","180","薄膜チップ抵抗1608サイズ"
"R8","RG1005P-332-B-T5","BottomLayer","R1005","44.8000","34.6000","270","薄膜チップ抵抗1005サイズ"
"R7","RG1005P-332-B-T5","BottomLayer","R1005","40.4600","34.6000","270","薄膜チップ抵抗1005サイズ"
"R6","RG1005P-103-B-T5","BottomLayer","R1005","26.0000","13.3650","0","薄膜チップ抵抗1005サイズ"
"R5","RG1005P-512-B-T5","BottomLayer","R1005","13.0000","32.0000","0","薄膜チップ抵抗1005サイズ"
"R4","RG1005P-512-B-T5","TopLayer","R1005","14.7000","26.1000","90","薄膜チップ抵抗1005サイズ"
"R3","RG1005P-103-B-T5","TopLayer","R1005","46.0000","28.0000","270","薄膜チップ抵抗1005サイズ"
"R2","RG1608P-103-B-T5","TopLayer","R1608","41.0000","24.0000","270","薄膜チップ抵抗1608サイズ"
"R1","RG1608P-114-B-T5","TopLayer","R1608","30.5000","28.3650","180","薄膜チップ抵抗1608サイズ"
"PTC1","1206L016WR","TopLayer","1206L","16.6000","28.2000","90","Resettable PTC"
"LED2","OSRGHC3131A","TopLayer","LED3COLORS","43.0000","37.0000","180","2色LED（赤,青）"
"LED1","WP710A10GD","TopLayer","LED_T1","36.0000","37.0000","90","LED T1 GREEN"
"JP6","SMD_JAMPER","TopLayer","SMD_JAMPER","43.5000","28.1000","180",""
"JP4","SMD_JAMPER","TopLayer","SMD_JAMPER","43.5000","32.0750","180",""
"JP3","SMD_JAMPER","TopLayer","SMD_JAMPER","55.9000","28.1000","180",""
"JP2","SMD_JAMPER","TopLayer","SMD_JAMPER","43.5000","24.1250","180",""
"JP1","SMD_JAMPER","TopLayer","SMD_JAMPER","55.9000","24.1250","180",""
"J1","B02B-PASK-1","BottomLayer","B02B-PASK-1","17.1500","21.2500","270","雄,ストレート,1列2ピン"
"D4","BAT54STA","TopLayer","SOT-23","21.1000","23.5000","90","ダブル直列ショットキー"
"D3","BAT54STA","TopLayer","SOT-23","25.5000","23.5000","90","ダブル直列ショットキー"
"D2","BAT54STA","TopLayer","SOT-23","56.1000","19.6000","90","ダブル直列ショットキー"
"D1","CDBW0520L-G","TopLayer","SOD-123","38.5000","33.7000","0","Schottky Rectifier"
"C23","C1608X5R1A106M080AC","TopLayer","C1608","23.3000","19.0000","180","セラコン1608サイズ"
"C22","GRM1552C1H101J","BottomLayer","C1005","20.6000","27.0950","180","セラコン1005サイズ"
"C21","GRM1552C1H101J","TopLayer","C1005","33.7000","30.1000","90","セラコン1005サイズ"
"C20","GRM1552C1H101J","BottomLayer","C1005","29.7000","11.5000","0","セラコン1005サイズ"
"C19","GRM1885C1H101JA01D","BottomLayer","C1608","48.8000","13.5000","90","セラコン1608サイズ"
"C17","GRM1552C1H101J","BottomLayer","C1005","45.9000","34.6000","270","セラコン1005サイズ"
"C16","GRM155B11H472K","BottomLayer","C1005","20.6000","14.6350","180","セラコン1005サイズ"
"C15","GRM155F11H103Z","BottomLayer","C1005","20.6000","13.3650","180","セラコン1005サイズ"
"C14","GRM155F11H103Z","BottomLayer","C1005","20.6000","15.9050","180","セラコン1005サイズ"
"C13","GRM1552C1H102J","BottomLayer","C1005","26.0000","14.6350","0","セラコン1005サイズ"
"C12","GRM1552C1H221J","TopLayer","C1005","17.1000","14.6350","270","セラコン1005サイズ"
"C11","GRM155B11H472K","BottomLayer","C1005","26.0000","12.0950","180","セラコン1005サイズ"
"C10","GRM155B11H472K","BottomLayer","C1005","20.6000","12.0950","180","セラコン1005サイズ"
"C2","GRM1885C1H101JA01D","TopLayer","C1608","36.8000","24.0000","270","セラコン1608サイズ"
"USB1","DX07W024JA1R1000","BottomLayer","DX07W024JA1R1000","11.5750","55.0040","90","USB3.1 Type-C"
"JP5","SMD_JAMPER","TopLayer","SMD_JAMPER","31.5000","63.8000","0",""
"D5","CDBW0520L-G","BottomLayer","SOD-123","34.1000","65.0000","180","Schottky Rectifier"
"C18","GRM1885C1H101JA01D","BottomLayer","C1608","46.6000","48.6000","270","セラコン1608サイズ"
"+5V","TP1mm","TopLayer","TP1mm","16.0000","47.3000","90","Test-Point 1mm"
"+3.3V","TP1mm","TopLayer","TP1mm","12.5000","47.3000","0","Test-Point 1mm"
"TP8","TP1mm","TopLayer","TP1mm","16.6000","64.1000","0","Test-Point 1mm"
"GND","TP1mm","TopLayer","TP1mm","45.0000","43.0000","0","Test-Point 1mm"
"TP2","TP1mm","TopLayer","TP1mm","26.2000","49.4000","0","Test-Point 1mm"
"TP1","TP1mm","TopLayer","TP1mm","20.0000","49.0000","0","Test-Point 1mm"
"C1","GRM155F11H103Z","BottomLayer","C1005","47.2000","65.7000","270","セラコン1005サイズ"
"P1","FTSH-110-01-F-DV-K-P-TR","TopLayer","Headerpin_2x10","37.0350","45.8350","90","Header, 2 x 10 -Pin 1.27mm"
"U2","LTC1682IS8-3.3#PBF","TopLayer","SOIC8_3.9mm","23.3000","66.0000","180","IC REG CHARGE PUMP 3.3V 8SOIC"
"C9","GRM155B11H472K","BottomLayer","C1005","20.6000","66.6350","180","セラコン1005サイズ"
"C8","GRM155F11H103Z","BottomLayer","C1005","20.6000","65.3650","180","セラコン1005サイズ"
"C7","GRM155F11H103Z","BottomLayer","C1005","20.6000","67.9050","180","セラコン1005サイズ"
"C6","GRM1552C1H102J","BottomLayer","C1005","26.0000","66.6350","0","セラコン1005サイズ"
"C5","GRM1552C1H221J","TopLayer","C1005","17.1000","66.6350","270","セラコン1005サイズ"
"C4","GRM155B11H472K","BottomLayer","C1005","26.0000","64.0950","180","セラコン1005サイズ"
"C3","GRM155B11H472K","BottomLayer","C1005","20.6000","64.0950","180","セラコン1005サイズ"
"U6","OPA2330AIDR","TopLayer","SOIC8_3.9mm","23.3000","59.0000","180","CMOS ゼロドリフトアンプ 2回路 レールツーレール 8SOIC"
"U5","AD7680BRJZ","TopLayer","SOT-23-6","37.0000","59.6350","270","16bit ADC 2.5V～5.5V SOT23"
"U4","NINA-B302","BottomLayer","NINA_LGA67R_1500X1000X338_PIFA","53.0000","59.0000","90","u-blox NINA-B302 Bluetooth 5 LE, 802.15.4 module"
"U3","LTC1682IS8-5#PBF","TopLayer","SOIC8_3.9mm","23.3000","44.0000","180","IC REG CHARGE PUMP 5V MSOP8"
"U1","CLB2032BUPB","BottomLayer","CLB2032BUPB","35.5000","53.8000","180","CLB電池ユニット　ピンタイプ"
"SW2","PTS645SK13SMTR92LFS","TopLayer","PTS645SK13SMTR92LFS","50.4500","46.2000","90","Tactile Switch 6 x 6mm"
"SW1","PTS645SK13SMTR92LFS","TopLayer","PTS645SK13SMTR92LFS","50.4500","58.1000","270","Tactile Switch 6 x 6mm"
"R24","RG1608P-114-B-T5","TopLayer","R1608","38.2000","54.0000","270","薄膜チップ抵抗1608サイズ"
"R23","RG1608P-303-B-T5","TopLayer","R1608","39.6000","54.0000","270","薄膜チップ抵抗1608サイズ"
"R21","RG1608P-114-B-T5","BottomLayer","R1608","20.6000","59.6350","180","薄膜チップ抵抗1608サイズ"
"R20","RG1608P-303-B-T5","BottomLayer","R1608","20.6000","60.9050","180","薄膜チップ抵抗1608サイズ"
"R18","RG1608P-204-B-T5","TopLayer","R1608","30.5000","59.6350","180","薄膜チップ抵抗1608サイズ"
"R17","RT0603DRD071ML","BottomLayer","R1608","23.3000","47.7000","0","薄膜チップ抵抗1608サイズ"
"R14","RG1608P-102-B-T5","TopLayer","R1608","23.3000","47.7000","0","薄膜チップ抵抗1608サイズ"
"R12","SM-3TW502","TopLayer","SM-3TW","33.5000","54.0000","270","CERMET TRIMMER 11 turns Top adjustmet"
"R11","RG1005P-103-B-T5","BottomLayer","R1005","52.2000","43.0000","0","薄膜チップ抵抗1005サイズ"
"R10","RG1608P-103-B-T5","BottomLayer","R1608","52.0000","44.2000","180","薄膜チップ抵抗1608サイズ"
"R8","RG1005P-332-B-T5","BottomLayer","R1005","44.8000","64.6000","270","薄膜チップ抵抗1005サイズ"
"R7","RG1005P-332-B-T5","BottomLayer","R1005","40.4600","64.6000","270","薄膜チップ抵抗1005サイズ"
